大丈夫、大丈夫。	It's okay.
いつからコンタクトしてるの？	When did you start wearing contacts?
車がぬかるみにはまって動けなくなった。	The car got stuck in the mud.
顔色がわるいですよ。	You look pale.
今日は曇りです。	It's cloudy today.
彼の父親は外国にいると聞いている。	I hear that his father is in another country.
彼女は学校をやめた。	She dropped out of school.
帽子をとってください。	Please take off your hat.
「彼女は音楽が好きではない」「私も好きではない」	"She doesn't like music. ""And she doesn't like me either."""
３日間そこに滞在した。	He stayed there for three days.
彼女はお母さんにおやすみのキスをした。	She kissed her mother good night.
その要求はあっさり拒絶された。	The demand was summarily rejected.
トムは怖がってた？	Was Tom afraid?
いつタバコやめたの？	When did you quit smoking?
簡単にインストールできるんですか？	Is it easy to install?
私は母がケーキを隠すのを見た。	I saw my mother hide the cake.
私の仕事は赤ん坊の世話をする事です。	My job is to take care of the baby.
力になれてよかったです。	I'm glad I was able to help.
彼は望遠鏡を自分の目に合うように調整した。	He adjusted the telescope to his sight.
俺、もう詰んだわ。	I'm at my wit's end.
警察は車の持ち主を何とか突きとめることができた。	The police managed to track down the owner of the car.
３、４日滞在したい。	I want to stay a few days.
トムはまだ床の上で気を失っている。	Tom is still unconscious on the floor.
彼はわたしたちを教えているイギリス人教師だ。	He is our English teacher.
かっかするな。	Don't get mad.
楽しかった。	I had fun.
彼女は神戸大学の出身です。	She graduated from Kobe University.
私たちは時々彼らに会う。	We sometimes see them.
「何時だろうか」と彼は思った。	What time is it? he wondered.
部屋を出てはいけません。	Don't leave the room.
彼はあなたの友達なの？	Is he a friend of yours?
ハワイでは１年中海水浴が楽しめる。	"In Hawaii, we can enjoy swimming in the ocean all year round."
トムにどこに行きたいか聞いてみたんだ。	I asked Tom where he wanted to go.
彼は原案に固執した。	He stuck to the original plan.
減量してるの？	Are you losing weight?
コーヒーを一杯いかがですか。	Would you like a cup of coffee?
今は時間がないんです。	I don't have time now.
俺たち毎週月曜にバスケしてるんだ。	We play basketball every Monday.
忙しそうですね。	You seem busy.
ちょっと手伝って。	Just help me.
トムとメアリーは離婚どうするんだろう。	I wonder whether or not Tom and Mary will get divorced.
「南瓜は、何玉欲しい？」「３玉、お願いします」	"How many pumpkins do you want? ""Three, please."""
自分の思いを私に話してごらんよ。	Tell me what you have in mind.
彼らはそわそわしている。	They're on pins and needles.
トムは我が家の末っ子です。	Tom is our youngest child.
トムはメアリーと別れた。	Tom broke up with Mary.
トムは私ほど上手に絵を描けない。	Tom can't draw as well as me.
あなたは運命を信じますか？	Do you believe in fate?
私は１９８０年にそのクラブの会員になった。	I became a member of the club in 1980.
トムは急に笑い出した。	Tom burst into laughter.
事務所にいます。	I'm at the office.
いつからヴァイオリンをやっているんですか？	How long have you been playing the violin?
彼はいつだってちゃんと勉強している。	He always studies hard.
頑張れよ。	Good luck.
「なんで私がトムのこと好きって分かったの？」「そんなの見てれば分かるよ」	"How did you know that I like Tom? ""You can tell just by looking."""
駅はどこですか。	Where is the railway station?
引っ込んでて！	Back off!
君はトムの友人だね。	"You're a friend of Tom's, aren't you?"
その音を聞くと犬は吠え出した。	The noise set the dog barking.
頭が痛いな。	My head aches.
２度とあんなことをするな。	Don't ever do that kind of thing again.
トムは口もきけないほどに腹を立てていた。	Tom was too angry to speak.
私は多くの人のいる前で恥をかかされた。	I was humiliated in public.
あなたは有名ですか？	Are you famous?
野球場で会いましょう。	I'll meet you at the ball park.
ゆっくり運転しなさい。	Drive slowly.
春には日が長くなる。	"In spring, the days get longer."
私に１つアイデアがあるのですが。	I have an idea.
カナダの方ですか？	Are you a Canadian?
トムはもうボストンには住んでいない。	Tom no longer lives in Boston.
全然変だと思いません。	I don't think that it's strange at all.
今日トムはそれをやる予定なの？	Is Tom going to do that today?
ちょうど今はオフィスに誰もいない。	"At the moment, there isn't anyone in the office."
空には星がたくさんでていてとても数え切れない。	"There are so many stars in the sky, I can't count them all."
